stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;sre000m0;tre200m0;tre200mn;tre200mx;ure200m0
ALT;18880101;-;-;-;968.3;27.7;-;-0.8;-;-;-
ALT;18880201;-;-;-;954.2;61;-;0.7;-;-;-
ALT;18880301;-;-;-;951.2;112.3;-;4.4;-;-;-
ALT;18880401;-;-;-;955.7;102.5;-;7.5;-;-;-
ALT;18880501;-;-;-;962.4;65.5;-;14.6;-;-;-
ALT;18880601;-;-;-;959.8;114.5;-;16.9;-;-;-
ALT;18880701;-;-;-;958.6;196.6;-;16.3;-;-;-
ALT;18880801;-;-;-;963.9;206.1;-;16.2;-;-;-
ALT;18880901;-;-;-;964.8;154.3;-;14.8;-;-;-
ALT;18881001;-;-;-;963.6;81.9;-;6.9;-;-;-
ALT;18881101;-;-;-;960.8;51.7;-;6.1;-;-;-
ALT;18881201;-;-;-;964.4;8.6;-;2.2;-;-;-
ALT;18890101;-;-;-;964.5;21.5;-;-0.6;-;-;-
ALT;18890201;-;-;-;955.1;152.7;-;-0.5;-;-;-
ALT;18890301;-;-;-;958.9;58.9;-;3;-;-;-
ALT;18890401;-;-;-;952.8;107.1;-;7.9;-;-;-
ALT;18890501;-;-;-;956.9;50.1;-;15;-;-;-
ALT;18890601;-;-;-;959.8;124.6;-;17.8;-;-;-
ALT;18890701;-;-;-;961.2;123.3;-;17.4;-;-;-
ALT;18890801;-;-;-;962.7;130.8;-;16.8;-;-;-
ALT;18890901;-;-;-;961.9;113.4;-;12.8;-;-;-
ALT;18891001;-;-;-;956.3;240;-;9.1;-;-;-
ALT;18891101;-;-;-;969;45.2;-;3.8;-;-;-
ALT;18891201;-;-;-;967.2;23.4;-;-1.6;-;-;-
ALT;18900101;-;-;-;965.4;75.7;-;2.7;-;-;-
ALT;18900201;-;-;-;963.6;1.4;-;-0.8;-;-;-
ALT;18900301;-;-;-;957.7;41.2;-;5.2;-;-;-
ALT;18900401;-;-;-;953.9;90.2;-;8.8;-;-;-
ALT;18900501;-;-;-;955;67.2;-;14.8;-;-;-
ALT;18900601;-;-;-;963.3;146.2;-;15.3;-;-;-
ALT;18900701;-;-;-;961.2;137.2;-;16.2;-;-;-
